no,movie,content,rate
14335088,앤트맨과 와스프,오늘 봤는데 볼만 함 ㄱㄱ,9
14335087,쥬라기 월드: 폴른 킹덤,완전 재미있었어요♡갑자기 깜짝!!놀라는 장면도 있었어요^^ 꿀잼이었어요ㅋㅋㅋ진짜 큰 기대없이 봤는데 진짜 짜릿하고 재밌었어요ㅎㅎ,10
14335086,인크레더블 2,잘못끝어서  못봐서  아쉬웠습니다,6
14335085,독전,다들 하이 클래스 연기를 보여주셨지만 그 중 진서연씨는 정망 징그러워 토가 나올정도로 OOO기...ㅋ,8
14335083,블랙 스완,볼수록 주인공이 이해가 가요,10
14335081,메카닉: 리크루트,스토리랑 전개는 그냥 그런가보다~~ 하고 액션이나봐~~ㅋㅋ 액션은 끝내줘 ㅋㅋ,8
14335080,아수라,ㅠㅠ 꽃이 지고야 봄인 줄 알았습니다,10
14335079,아수라,뭐야 재밌구만 왜 평점이 낮았지? 주위에서 재미없다고 해서 안봤는데 이번에 회자돼서 직접 봐봤는데 현실 반영 생각 안해도 꿀잼이구만,10
14335078,인크레더블 2,어른들이봐두 넘 잼나요~,10
14335077,아수라,그것이 알고싶다 보고 왔습니다,10
14335076,아수라,너무 일찍 개봉한 수작.   알고보니 다큐영화,10
14335075,아수라,10점가즈아아아아!,10
14335074,마녀,관객수 400만 가즈아~~!!!,10
14335073,킬링 디어,과오에 대한 대가를 치를 수 밖에 없는 상황에 처했을 때 나는 어떨까? 그 과정과 결과의 추이가 가차 없이 다가왔다. 부라보!!,10
14335072,인크레더블 2,잭잭 너무 귀엽고 재밋게 잘봤습니다 오랫동안 기다린 보람이 있네요^^,10
14335071,인크레더블 2,무슨 속편이 이렇게 재밌냐...그리고 잭잭 졸귀ㅠ,10
14335070,인크레더블 2,벌써 두번이나 봤네요? 7살아이가 넘넘 잼있데요 1편보다 훨 기발하고 귀엽고 잼났던거 같아용~♡ 잘봤습니당~ 조만간 3도 나올거 같아용 기대됩니다,10
14335069,마녀,예전 구미호외전 드라마랑 느낌이 비슷한거같다후반은 괜찮았는데 전반에 너무 지루해 내평점은 6점으로 만족,6
14335068,앤트맨과 와스프,마블도 슬슬 거품빠지는구나,1
14335067,아수라,이재명주연의 아수라맞나요?,10
14335066,인크레더블 2,아기는 많은 가능성을 품고 있고아이들은 어른의 생각보다 더 해낼 수 있으며최선을 다하는 아빠는 최고의 아빠이고가족을 지키는 엄마는 그 자체로 히어로다빌런과 줌심히어로가 여성이라는 점이 매우 반가웠다,10
14335065,스카이스크래퍼,막상 보구나면 스토리는 없는데 보는내내 넘 무섭.. 반팔입고 영화관이 안춥기는 처음인듯..? ㅋㅋ,8
14335064,인크레더블 2,인크레더블1에서 부족한 히어로가족의 내면모습과 성장을 잘 그려냈다!잭잭이도 너무 잘큰듯해요 ㅎㅎ,10
14335063,아수라,굿굿... 심각할 정도로 사실적인 묘사에 감탄을 금할 수 없었습니다,10
14335062,잉글랜드 이즈 마인,계단을 올라 좁은 틈 사이로 빛이 새어 나오는 문을 열고 앞으로 나아가자.,6
14335061,아수라,이게 실화일줄이야..,10
14335060,인크레더블 2,숏필림도 좋고 영화내용도좋고 초등학생 아들과 보기 좋앗어요,10
14335059,앤트맨과 와스프,인터스텔라 2인가요jQuery224044790328325791195_1532327698292,8
14335058,마녀,재밌어요!! 최우식 배우님 연기 짱 ㅠㅠㅠㅠ,10
14335057,앤트맨과 와스프,히어로물이라기 보단 유쾌한 가족 영화 분위기인데 너무 자연스러웠다. 다만 악당의 존재감이 없는게 다소 유감이나 가족 영화 스타일인거 생각하면 이해됨. 사물의 크기를 조절하는 능력을 활용한 재미있는 각종 아이디어들에 박수를.,9
14335056,아수라,감독의 현실고발 정신에 만점드립니다.,10
14335055,아수라,평점10점가즈아ㅋㅋㅋ,10
14335054,인크레더블 2,역시 인크레더블...벌써부터 3가 기대된다.,10
14335052,마녀,재미있게 잘 봤습니다. 이번에는 꼭 2편 나오길 바랍니다!!,10
14335051,램페이지,재미있어요~다만 끝부분은 킹콩이 마무리하네요♡♡드웨인 존슨 팬인데 덕분에 시원하게 더위날렸어요~~,10
14335050,원더 우먼,역시 dc는 안돼 이야기가 짜임새는 전혀없고 뒤죽박죽 전개에 영화에 뭘 담고 싶은건지 전혀 모르겠음 dc는 항상 실망하게됨 이제는 어떤 개망작을 만들었을까가 궁금해서 보게됨 오로지 배우 캐스팅 하나만 볼만함 놀라울정도로 노잼,1
14335049,속닥속닥,좋다 한국영화 발전의 전환점,10
14335048,마녀,앙 개꿀띠 오백포인트으으으으,10
14335047,아수라,성지순례 왔습니다. 로또 당첨되게 해주세요,10
14335046,아이 캔 스피크,우리는 정의를 원한다.,10
14335045,쥬라기 월드: 폴른 킹덤,넘 리얼해서 깜짝깜짝 놀램..ㅎㅎ 꿀잼! 메이지 반전(?) 소오름..,8
14335044,앤트맨과 와스프,힝 앤트맨 좋아했는데... 이번편은 조큼 그냥그랫음,6
14335043,아수라,기가 막힌 영화..아니 다큐!!!,10
14335041,아수라,평점을 매겨야한다. 10점으로,10
14335040,아수라,이 영화가 그 유명한 영화인가요?,10
14335039,변산,오늘의 노을이 지겹지 않은 이유,8
14335038,마녀,초반엔 좀 흥미해지다가...가면갈수록 피남발로 긴장감도..흥미도...떨어지짐,1
